timestamp,operator,scenario,run,users,duration_s,scaling_lag_s,total_scale_actions,total_heal_actions,p95_latency_ms_avg,p95_latency_ms_max,error_rate_pct,replicas_start,replicas_end,safety_rejected_count
20260825-164745,hpa,spike,1,100,60,5,8,0,4,4.0,0.00,2,10,0
20260825-164913,hpa,spike,2,100,60,5,8,0,3,4.0,0.00,2,10,0
20260825-165041,hpa,spike,3,100,60,5,8,0,3,3.0,0.00,2,10,0
20260825-165210,hpa,steady,1,50,60,5,8,0,3,4.0,0.00,2,10,0
20260825-165339,hpa,steady,2,50,60,5,8,0,3,3.0,0.00,2,10,0
20260825-165507,hpa,steady,3,50,60,5,8,0,4,4.0,0.00,2,10,0
20260825-165635,hpa,idle,1,10,60,5,6,0,3,3.0,0.00,2,8,0
20260825-165804,hpa,idle,2,10,60,5,6,0,3,18.0,0.00,2,8,0
20260825-165932,hpa,idle,3,10,60,5,6,0,4,18.0,0.00,2,8,0
20260825-170106,keda,spike,1,100,60,5,0,0,3,4.0,0.00,2,10,0
20260825-170234,keda,spike,2,100,60,5,0,0,3,4.0,0.00,2,10,0
20260825-170403,keda,spike,3,100,60,5,0,0,3,4.0,0.00,2,10,0
20260825-170531,keda,steady,1,50,60,5,0,0,3,4.0,0.00,2,10,0
20260825-170659,keda,steady,2,50,60,5,0,0,3,19.0,0.00,2,10,0
20260825-170828,keda,steady,3,50,60,5,0,0,3,3.0,0.00,2,10,0
20260825-170956,keda,idle,1,10,60,5,0,0,3,3.0,0.00,2,9,0
20260825-171124,keda,idle,2,10,60,5,0,0,4,16.0,0.00,2,8,0
20260825-171253,keda,idle,3,10,60,5,0,0,4,13.0,0.00,2,8,0
20260825-171756,ai,spike,1,100,60,5,4,1,30000,30000.0,100.00,2,2,14
20260825-171921,ai,spike,2,100,60,5,7,1,30000,30000.0,100.00,2,1,17
20260825-172045,ai,spike,3,100,60,5,10,1,30000,30000.0,100.00,2,2,20
20260825-172209,ai,steady,1,50,60,5,13,1,30000,30000.0,100.00,2,2,23
20260825-172334,ai,steady,2,50,60,5,15,1,30000,30000.0,100.00,2,2,25
20260825-172458,ai,steady,3,50,60,5,18,1,30000,30000.0,100.00,2,2,28
20260825-172623,ai,idle,1,10,60,5,21,1,30000,30000.0,100.00,2,2,31
20260825-172747,ai,idle,2,10,60,5,24,1,30000,30000.0,100.00,2,2,34
20260825-172911,ai,idle,3,10,60,5,27,1,30000,30000.0,100.00,2,2,37
