timestamp,operator,scenario,run,users,duration_s,scaling_lag_s,total_scale_actions,total_heal_actions,p95_latency_ms_avg,p95_latency_ms_max,error_rate_pct,replicas_start,replicas_end,safety_rejected_count
20260827-151313-v2,workload-v2,spike,1,80,60,5,0,0,4.80,5.00,99.75,2,2,0
20260827-151436-v2,workload-v2,spike,2,80,60,5,0,0,3.80,4.00,99.78,2,2,0
20260827-151600-v2,workload-v2,spike,3,80,60,5,0,0,3.80,4.00,99.72,2,2,0
20260827-151728-v2,workload-v2,steady,1,40,60,5,0,0,2.00,2.00,99.46,2,2,0
20260827-151852-v2,workload-v2,steady,2,40,60,5,0,0,2.00,2.00,99.47,2,2,0
20260827-152015-v2,workload-v2,steady,3,40,60,5,0,0,2.00,2.00,99.30,2,2,0
20260827-152129-v2,workload-v2,idle,1,8,45,5,0,0,6740.00,12000.00,0.00,2,2,0
20260827-152238-v2,workload-v2,idle,2,8,45,5,0,0,8906.00,14000.00,0.00,2,2,0
20260827-152347-v2,workload-v2,idle,3,8,45,5,0,0,6720.00,11000.00,0.00,2,2,0
20260827-test,workload-v2,spike,1,80,60,5,0,0,4.00,4.00,99.65,2,2,0
20260827-152521-v2,workload-v2,spike,1,80,60,5,0,0,4.00,4.00,99.65,2,2,0
20260827-152644-v2,workload-v2,spike,2,80,60,5,0,0,4.00,4.00,99.71,2,2,0
20260827-152808-v2,workload-v2,spike,3,80,60,5,0,0,4.00,4.00,99.65,2,2,0
20260827-152936-v2,workload-v2,steady,1,40,60,5,0,0,2.20,3.00,99.02,2,2,0
20260827-153059-v2,workload-v2,steady,2,40,60,5,0,0,2.00,2.00,99.28,2,2,0
20260827-153222-v2,workload-v2,steady,3,40,60,5,0,0,2.00,2.00,99.42,2,2,0
20260827-153336-v2,workload-v2,idle,1,8,45,5,0,0,5960.00,9500.00,0.00,2,2,0
20260827-153445-v2,workload-v2,idle,2,8,45,5,0,0,6580.00,12000.00,0.00,2,2,0
20260827-153554-v2,workload-v2,idle,3,8,45,5,0,0,3394.00,13000.00,0.00,2,2,0
20260827-153737-v2,workload-v2,spike,1,80,60,5,0,0,4.00,4.00,99.65,2,2,0
20260827-153901-v2,workload-v2,spike,2,80,60,5,0,0,4.00,4.00,99.57,2,2,0
20260827-154024-v2,workload-v2,spike,3,80,60,5,0,0,5.00,5.00,98.74,2,2,0
20260827-154153-v2,workload-v2,steady,1,40,60,5,0,0,2.00,2.00,99.48,2,2,0
20260827-154316-v2,workload-v2,steady,2,40,60,5,0,0,2.00,2.00,99.35,2,2,0
20260827-154439-v2,workload-v2,steady,3,40,60,5,0,0,2.00,2.00,99.18,2,2,0
20260827-154553-v2,workload-v2,idle,1,8,45,5,0,0,3020.00,3700.00,0.00,2,2,0
20260827-154701-v2,workload-v2,idle,2,8,45,5,0,0,5920.00,9500.00,0.00,2,2,0
20260827-154810-v2,workload-v2,idle,3,8,45,5,0,0,3394.00,13000.00,0.00,2,2,0
