timestamp,service,window_s,samples,cpu_percent,memory_percent,request_rate,p95_latency_ms,error_rate,current_replicas,available_replicas,hour_of_day,day_of_week,is_anomaly,scenario,target_replicas
1787758584,workload-v2,30,30,45.2494,47.6456,0.0,0.0,0.0,2,2,12,1,1,spike,2.0
1787758585,workload-v2,30,30,42.8288,44.8381,0.0,185.33,0.0,2,2,12,1,1,spike,2.0
1787758586,workload-v2,30,30,45.6654,50.6918,0.0,785.33,0.0,2,2,12,1,1,spike,2.0
1787758587,workload-v2,30,30,42.5241,43.649,0.0,2200.0,0.0,2,2,12,1,1,spike,2.0
1787758588,workload-v2,30,30,41.8728,51.8893,0.0,2950.0,0.0,2,2,12,1,1,spike,2.0
1787758589,workload-v2,30,30,43.0484,47.7143,0.0,2840.0,0.0,2,2,12,1,1,spike,2.0
1787758590,workload-v2,30,30,45.2224,47.6061,0.0,3900.0,0.0,2,2,12,1,1,spike,2.0
1787758591,workload-v2,30,30,42.8855,56.3032,0.0,4440.0,0.0,2,2,12,1,1,spike,2.0
1787758592,workload-v2,30,30,46.9177,43.9446,0.0,5260.0,0.0,2,2,12,1,1,spike,2.0
1787758593,workload-v2,30,30,39.4733,53.4375,0.0,5260.0,0.0,2,2,12,1,1,spike,2.0
1787758594,workload-v2,30,30,47.8612,49.7967,0.0,5260.0,0.0,2,2,12,1,1,spike,2.0
1787758595,workload-v2,30,30,44.3606,42.3472,0.0,5620.0,0.0,2,2,12,1,1,spike,2.0
1787758596,workload-v2,30,30,47.2232,60.1103,0.0,6260.0,0.0,2,2,12,1,1,spike,2.0
1787758597,workload-v2,30,30,42.4133,58.4163,0.0,10620.0,0.0,2,2,12,1,1,spike,2.0
1787758598,workload-v2,30,30,45.8675,47.8767,0.0,13000.0,0.0,2,2,12,1,1,spike,2.0
1787758599,workload-v2,30,30,41.7789,52.6925,0.0,14800.0,0.0,2,2,12,1,1,spike,2.0
1787758600,workload-v2,30,30,46.2946,41.4259,0.0,15000.0,0.0,2,2,12,1,1,spike,2.0
1787758601,workload-v2,30,30,45.0749,48.1675,0.0,15400.0,0.0,2,2,12,1,1,spike,2.0
1787758602,workload-v2,30,30,48.1186,54.5218,0.0,15400.0,0.0,2,2,12,1,1,spike,2.0
1787758603,workload-v2,30,30,42.8483,54.2133,0.0,16200.0,0.0,2,2,12,1,1,spike,2.0
1787758604,workload-v2,30,30,41.2855,52.1889,0.0,17600.0,0.0,2,2,12,1,1,spike,2.0
1787758605,workload-v2,30,30,42.2682,51.1097,0.0,18000.0,0.0,2,2,12,1,1,spike,2.0
