seed,operator,scenario,replicas_start,replicas_end,scale_actions,heal_actions,error_rate,p95_latency_ms,scaling_lag_s
1,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
1,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
1,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
1,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
1,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
1,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
1,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
1,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
1,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
1,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
1,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
1,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
2,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
2,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
2,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
2,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
2,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
2,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
2,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
2,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
2,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
2,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
2,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
2,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
3,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
3,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
3,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
3,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
3,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
3,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
3,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
3,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
3,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
3,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
3,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
3,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
4,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
4,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
4,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
4,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
4,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
4,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
4,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
4,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
4,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
4,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
4,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
4,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
5,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
5,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
5,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
5,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
5,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
5,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
5,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
5,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
5,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
5,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
5,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
5,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
6,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
6,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
6,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
6,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
6,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
6,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
6,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
6,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
6,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
6,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
6,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
6,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
7,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
7,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
7,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
7,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
7,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
7,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
7,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
7,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
7,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
7,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
7,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
7,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
8,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
8,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
8,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
8,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
8,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
8,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
8,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
8,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
8,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
8,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
8,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
8,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
9,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
9,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
9,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
9,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
9,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
9,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
9,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
9,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
9,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
9,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
9,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
9,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
10,hpa,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30
10,hpa,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30
10,hpa,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30
10,keda,spike,2,10,4,0,0.7467817391304347,3310.304347826087,30
10,keda,steady,2,10,3,0,0.9826086956521739,2.026086956521739,30
10,keda,idle,2,4,3,0,0.9636363636363636,0.9818181818181818,30
10,firm,spike,2,10,4,0,0.7467817391304347,3310.304347826087,60
10,firm,steady,2,10,1,0,0.9826086956521739,2.026086956521739,60
10,firm,idle,2,5,3,0,0.9636363636363636,0.9818181818181818,60
10,shield-ai,spike,2,1,1,0,0.7467817391304347,3310.304347826087,30.0
10,shield-ai,steady,2,1,1,0,0.9826086956521739,2.026086956521739,30.0
10,shield-ai,idle,2,1,1,0,0.9636363636363636,0.9818181818181818,30.0
